datetime,frc,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_closure
2023-11-22 07:00,FRC0,60,88,204,139,1,0
2023-11-22 07:04,FRC0,57,89,215,138,1,0
2023-11-22 07:10,FRC0,54,89,227,138,1,0
2023-11-22 07:30,FRC0,44,89,279,138,1,0
2023-11-22 08:00,FRC0,55,89,223,138,1,0
2023-11-22 08:30,FRC0,67,88,183,139,1,0
2023-11-22 09:00,FRC0,89,89,138,138,1,0
2023-11-22 09:30,FRC0,57,89,215,138,1,0
2023-11-22 10:00,FRC0,26,91,472,135,1,0
2023-11-22 10:30,FRC0,30,89,409,138,1,0
2023-11-22 11:00,FRC0,32,88,384,139,1,0
2023-11-22 11:30,FRC0,89,89,138,138,1,0
2023-11-22 12:00,FRC0,63,89,195,138,1,0
2023-11-22 12:23,FRC0,62,89,198,138,1,0
2023-11-22 12:24,FRC0,68,89,180,138,1,0
2023-11-22 12:25,FRC0,70,89,175,138,1,0
2023-11-22 12:26,FRC0,72,89,170,138,1,0
2023-11-22 12:27,FRC0,70,89,175,138,1,0
2023-11-22 12:28,FRC0,75,89,163,138,1,0
2023-11-22 12:29,FRC0,73,88,168,139,1,0
2023-11-22 12:30,FRC0,74,88,166,139,1,0
2023-11-22 12:31,FRC0,72,89,170,138,1,0
2023-11-22 12:32,FRC0,76,88,161,139,1,0
2023-11-22 12:33,FRC0,89,89,138,138,1,0
2023-11-22 12:34,FRC0,89,89,138,138,1,0
2023-11-22 12:35,FRC0,89,89,138,138,1,0
2023-11-22 12:36,FRC0,89,89,138,138,1,0
2023-11-22 12:37,FRC0,89,89,138,138,1,0
2023-11-22 12:38,FRC0,89,89,138,138,1,0
2023-11-22 12:39,FRC0,89,89,138,138,1,0
2023-11-22 17:11,FRC0,35,89,351,138,1,0
2023-11-22 17:16,FRC0,25,88,491,139,1,0
2023-11-22 17:21,FRC0,23,89,534,138,1,0
2023-11-22 17:26,FRC0,30,89,409,138,1,0
