locationid,location,parameter,value,dateutc,datelocal,unit,latitude,longitude,country,city,ismobile,isanalysis,entity,sensortype
1092284,Wellington Place (elev: 90m),humidity,49.96153846153846,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6538461538461539,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,15.619230769230768,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,9.384615384615383,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,995.7519230769232,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0511538461538461,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,66.86153846153846,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,14.164615384615386,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.0011538461538461,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.132307692307692,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,13.903846153846152,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,47.19230769230769,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0119230769230769,2023-12-05T23:00:00+00:00,2023-12-05T18:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
